blockNo,blockhash,ticket1,winningNumber1,ticket2,winningNumber2
3803090,16111,15036,12,59772,12
3803091,37307,55643,11,7849,9
3803092,31774,55787,11,46687,15
3803093,23545,42204,12,31027,3
3803094,61997,10073,9,5883,11
3803095,62095,61461,5,20487,7
3803096,40228,2523,11,12647,7
3803097,62770,37183,15,24073,9
3803098,17302,9557,5,18279,7
3803099,40974,20646,6,47390,14
3803100,63083,14618,10,37832,8
3803101,14925,60288,0,27153,1
3803102,25057,60758,6,51811,3
3803103,24207,472,8,13893,5
3803104,30330,18027,11,36983,7
3803105,23720,7331,3,28240,0
3803106,19099,25833,9,55391,15
3803107,8223,49120,0,52552,8
3803108,350,32126,14,50997,5
3803109,10063,9429,5,43955,3
3803110,16522,32364,12,34837,5
3803111,52387,62981,5,46152,8
3803112,10236,18494,14,25681,1
3803113,23702,4109,13,59319,7
3803114,16829,48844,12,33875,3
3803115,50579,34258,2,5421,13
3803116,41653,7861,5,1425,1
3803117,7430,12760,8,25118,14
3803118,22415,3259,11,30530,2
3803119,20310,12181,5,59270,6
3803120,44561,52600,8,40058,10
3803121,33259,37062,6,16466,2
3803122,59553,28564,4,59709,13
3803123,19412,36476,12,34279,7
3803124,7925,49118,14,50501,5
3803125,34385,16582,6,51077,5
3803126,1630,14825,9,31356,12
3803127,61961,50296,8,57418,10
3803128,21852,58820,4,22185,9
3803129,36936,16629,5,43916,12
3803130,43585,47732,4,27756,12
3803131,41574,7920,0,32297,9
3803132,38717,62700,12,35598,14
3803133,28007,50530,2,24874,10
3803134,22875,38622,14,33802,10
3803135,12330,22937,9,33531,11
3803136,41249,12105,9,9155,3
3803137,33068,2009,9,44235,11
3803138,53304,26384,0,40407,7
3803139,45407,1940,4,39958,6
3803140,16006,6546,2,63109,5
3803141,49946,62191,15,33048,8
3803142,12123,2120,8,46827,11
3803143,55378,27172,4,15266,2
3803144,14080,61468,12,39966,14
3803145,8256,15474,2,20401,1
3803146,920,58921,9,7134,14
3803147,53667,16027,11,33105,1
3803148,2220,13407,15,49345,1
3803149,61883,34829,13,56159,15
3803150,39084,41832,8,33553,1
3803151,18097,37549,13,5507,3
3803152,14317,11384,8,10992,0
3803153,31687,12566,6,44950,6
3803154,15973,3405,13,50563,3
3803155,20940,60134,6,20238,14
3803156,9795,11026,2,58895,15
3803157,34286,6431,15,5380,4
3803158,39318,46688,0,50810,10
3803159,42372,26354,2,35295,15
3803160,32529,16028,12,63886,14
3803161,47102,24640,0,18679,7
3803162,2401,40098,2,23888,0
3803163,7193,59082,10,47450,10
3803164,51721,58034,2,18323,3
3803165,61055,52320,0,2502,6
3803166,64058,51975,7,25391,15
3803167,26788,5134,14,64857,9
3803168,55233,2217,9,49238,6
3803169,4516,63930,10,251,11
3803170,28546,49499,11,3140,4
3803171,34176,52368,0,23515,11
3803172,4185,10690,2,31410,2
3803173,12802,13575,7,22053,5
3803174,54898,26420,4,1470,14
3803175,32102,31330,2,46267,11
3803176,33832,22343,7,6297,9
3803177,39335,40678,6,17776,0
3803178,56598,8914,2,57009,1
3803179,55586,30059,11,61245,13
3803180,24993,44796,12,59750,6
3803181,20240,9382,6,29386,10
3803182,12508,53024,0,29086,14
3803183,19350,27913,9,65012,4
3803184,39302,23067,11,49160,8
3803185,49242,62423,7,58921,9
3803186,38307,36401,1,49085,13
3803187,7310,5380,4,8513,1
3803188,41814,61211,11,17502,14
3803189,48935,39729,1,37796,4
3803190,34364,6496,0,47251,3
3803191,15095,19670,6,54830,14
3803192,2131,14405,5,10438,6
3803193,47154,17614,14,32569,9
3803194,61703,45264,0,819,3
3803195,28852,23984,0,45318,6
3803196,4315,30383,15,61882,10
3803197,60193,36761,9,58949,5
3803198,33534,47412,4,22083,3
3803199,54073,39763,3,34009,9
3803200,27889,5835,11,9107,3
3803201,61766,6107,11,11951,15
3803202,49314,49884,12,3053,13
3803203,47332,27208,8,7956,4
3803204,18859,52490,10,21555,3
3803205,3511,54370,2,65457,1
3803206,43733,47871,15,53771,11
3803207,51180,53473,1,37942,6
3803208,22334,17056,0,4244,4
3803209,56676,60859,11,40382,14
3803210,17305,5441,1,28533,5
3803211,58564,61945,9,35180,12
3803212,59367,43135,15,50510,14
3803213,12763,7178,10,19137,1
3803214,17071,772,4,31092,4
3803215,56998,42879,15,18839,7
3803216,59794,11208,8,46317,13
3803217,62085,54919,7,4741,5
3803218,38700,8458,10,16685,13
3803219,16621,27975,7,17579,11
3803220,62280,49716,4,26796,12
3803221,18523,3859,3,35469,13
3803222,44482,22805,5,30821,5
3803223,26663,22411,11,61050,10
3803224,50265,46006,6,41320,8
3803225,14867,11198,14,2156,12
3803226,29573,19859,3,58969,9
3803227,33632,29450,10,30267,11
3803228,12369,12602,10,2809,9
3803229,28667,30000,0,22848,0
3803230,28635,51311,15,18766,14
3803231,60928,54599,7,54225,1
3803232,54321,5755,11,58584,8
3803233,21060,58211,3,1000,8
3803234,21520,43398,6,2679,7
3803235,25474,54302,14,47700,4
3803236,34444,34693,5,42713,9
3803237,65164,141,13,49207,7
3803238,42654,26448,0,40348,12
3803239,39466,43743,15,36430,14
3803240,24607,53246,14,63510,6
3803241,10648,45025,1,8409,9
3803242,16857,3147,11,19568,0
3803243,14541,52802,2,6540,12
3803244,36487,54761,9,30252,12
3803245,58692,1714,2,7909,5
3803246,954,30550,6,2730,10
3803247,19355,57744,0,49008,0
3803248,62684,46887,7,2465,1
3803249,22813,12733,13,869,5
3803250,37244,21523,3,17191,7
3803251,48419,5270,6,36478,14
3803252,16404,4883,3,12182,6
3803253,51727,14942,14,60291,3
3803254,58969,54810,10,51010,2
3803255,55876,37757,13,54460,12
3803256,4139,60975,15,15365,5
3803257,3284,46722,2,28240,0
3803258,34064,5446,6,55075,3
3803259,10889,53126,6,64554,10
3803260,18928,58772,4,1574,6
3803261,54059,31104,0,48454,6
3803262,27270,46454,6,3179,11
3803263,62442,11819,11,47995,11
3803264,46083,26942,14,60667,11
3803265,51571,23088,0,1428,4
3803266,50547,42523,11,33501,13
3803267,4274,27542,6,53446,6
3803268,65203,23836,12,2125,13
3803269,35351,16776,8,27246,14
3803270,27291,58647,7,51132,12
3803271,9417,62372,4,31576,8
3803272,62712,11735,7,61019,11
3803273,30839,7906,2,16999,7
3803274,22722,16932,4,42714,10
3803275,35430,57708,12,34212,4
3803276,18932,47080,8,46902,6
3803277,49779,6313,9,49165,13
3803278,44988,22808,8,41054,14
3803279,35509,28500,4,61780,4
3803280,61588,32290,2,5944,8
3803281,62319,24355,3,63705,9
3803282,53722,63015,7,352,0
3803283,32087,30574,14,34579,3
3803284,31545,43410,2,40157,13
3803285,18849,40919,7,5860,4
3803286,25157,30164,4,43096,8
3803287,31148,33289,9,38121,9
3803288,20803,33598,14,45774,14
3803289,54734,47022,14,8870,6
3803290,47796,21128,8,61113,9
3803291,9404,33671,7,11496,8
3803292,2982,58998,6,40006,6
3803293,40821,40752,0,34468,4
3803294,33884,27208,8,21452,12
3803295,16895,53747,3,99,3
3803296,27686,18627,3,15627,11
3803297,21700,53217,1,7731,3
3803298,36524,52737,1,20062,14
3803299,16807,31227,11,60264,8
3803300,27471,44134,6,62587,11
3803301,20825,38704,0,37733,5
3803302,63695,39814,6,26344,8
3803303,35175,12989,13,29898,10
3803304,31645,42813,13,40687,15
3803305,64437,16022,6,57287,7
3803306,34284,48316,12,42961,1
3803307,24490,18539,11,27744,0
3803308,47720,24124,12,28522,10
3803309,34619,24050,2,18246,6
3803310,59487,1785,9,53059,3
3803311,23040,57706,10,2387,3
3803312,31107,45756,12,53297,1
3803313,25553,32433,1,62032,0
3803314,12934,62627,3,50905,9
3803315,15761,7208,8,13304,8
3803316,24751,59640,8,332,12
3803317,3669,61800,8,42726,6
3803318,12415,24682,10,7453,13
3803319,63975,21228,12,52066,2
3803320,32567,1222,6,51182,14
3803321,34866,34851,3,2550,6
3803322,43408,51571,3,33098,10
3803323,20477,40974,14,3693,13
3803324,62121,41406,14,45533,13
3803325,41043,40458,10,55665,1
3803326,40903,40889,9,60234,10
3803327,15249,53546,10,37400,8
3803328,28158,44011,11,16441,9
3803329,19369,14862,14,16679,7
3803330,9050,29435,11,17202,2
3803331,21786,62620,12,64012,12
3803332,35665,36493,13,11321,9
3803333,515,50490,10,61363,3
3803334,52453,5414,6,33918,14
3803335,3205,42812,12,4187,11
3803336,56775,41756,12,6196,4
3803337,331,43302,6,60668,12
3803338,63102,953,9,61699,3
3803339,25040,27565,13,7861,5
3803340,21974,13326,14,13612,12
3803341,62075,10915,3,17155,3
3803342,660,38325,5,50423,7
3803343,31735,54102,6,52430,14
3803344,56977,58673,1,10165,5
3803345,33295,4221,13,25922,2
3803346,28513,25498,10,18480,0
3803347,58663,29958,6,43333,5
3803348,50160,55320,8,37099,11
3803349,37517,59463,7,1450,10
3803350,24056,42996,4,23784,8
3803351,33746,15087,15,38072,8
3803352,41459,25975,7,3540,4
3803353,3306,6580,4,40131,3
3803354,23732,8114,2,36736,0
3803355,55793,64211,3,37284,4
3803356,60940,16044,12,6504,8
3803357,13468,16996,4,42405,5
3803358,34498,42887,7,54154,10
3803359,51302,8139,11,34592,0
3803360,14925,41339,11,25070,14
3803361,13219,11590,6,47532,12
3803362,5323,28124,12,55226,10
3803363,12223,60418,2,54663,7
3803364,31838,25332,4,13139,3
3803365,55460,19639,7,21373,13
3803366,15458,40915,3,54925,13
3803367,22993,11831,7,16153,9
3803368,29839,32477,13,37996,12
3803369,3508,7089,1,1315,3
3803370,38862,21696,0,37056,0
3803371,14957,65317,5,3950,14
3803372,61182,34386,2,33951,15
3803373,57229,17730,2,63148,12
3803374,62328,18912,0,20007,7
3803375,48336,62502,6,2938,10
3803376,34388,19858,2,15185,1
3803377,8028,61076,4,40793,9
3803378,50721,36389,5,10072,8
3803379,35961,51123,3,3882,10
3803380,29789,35521,1,23800,8
3803381,46573,9778,2,26242,2
3803382,33011,57699,3,45563,11
3803383,28322,29171,3,31692,12
3803384,56903,50977,1,22918,6
3803385,28632,15351,7,42604,12
3803386,6734,7799,7,1658,10
3803387,54162,16602,10,46986,10
3803388,61603,53989,5,52689,1
3803389,9979,44098,2,50971,11
3803390,30750,23221,5,50902,6
3803391,26097,50682,10,62952,8
3803392,31238,30792,8,60686,14
3803393,3916,9038,14,23553,1
3803394,39709,51898,10,40058,10
3803395,8470,37874,2,10034,2
3803396,24100,34552,8,19587,3
3803397,60523,36520,8,29288,8
3803398,40149,44664,8,6622,14
3803399,28480,10428,12,54030,14
3803400,60345,21746,2,48142,14
3803401,16180,31839,15,52210,2
3803402,26590,47162,10,62722,2
3803403,4691,27693,13,59641,9
3803404,12987,39589,5,32861,13
3803405,60831,62751,15,55651,3
3803406,925,41559,7,30978,2
3803407,50822,55393,1,65385,9
3803408,45244,9122,2,6450,2
3803409,36112,33608,8,1318,6
3803410,37846,34184,8,52138,10
3803411,30226,12156,12,13673,9
3803412,18606,54064,0,28194,2
3803413,49458,48354,2,49945,9
3803414,6642,43174,6,11522,2
3803415,24875,16730,10,25481,9
3803416,54969,17079,7,32829,13
3803417,58842,43915,11,59845,5
3803418,9475,1547,11,56684,12
3803419,25208,48049,1,42834,2
3803420,43541,47095,7,49512,8
3803421,35032,27273,9,59643,11
3803422,11798,51164,12,47102,14
3803423,55306,21799,7,1601,1
3803424,10283,60166,6,50773,5
3803425,62723,59612,12,53520,0
3803426,48704,35696,0,41399,7
3803427,8883,8654,14,41234,2
3803428,32574,60972,12,54380,12
3803429,38387,63521,1,30056,8
3803430,30329,4999,7,17197,13
3803431,16477,52890,10,46036,4
3803432,25034,30531,3,46242,2
3803433,59240,57393,1,56704,0
3803434,49682,37909,5,7813,5
3803435,18723,38595,3,41303,7
3803436,8987,25480,8,55038,14
3803437,34624,20003,3,16472,8
3803438,44285,48708,4,44331,11
3803439,47452,31890,2,54624,0
3803440,60572,18313,9,2033,1
3803441,18134,42544,0,15300,4
3803442,17112,41212,12,50159,15
3803443,17994,7066,10,52014,14
3803444,12037,18668,12,15514,10
3803445,11180,12140,12,11906,2
3803446,21237,1253,5,9221,5
3803447,31964,48160,0,34058,10
3803448,48486,39541,5,28933,5
3803449,51293,36895,15,16242,2
3803450,15484,11452,12,19320,8
3803451,31396,41419,11,14248,8
3803452,18688,28286,14,48222,14
3803453,56610,45441,1,21518,14
3803454,44816,15801,9,42786,2
3803455,29437,45056,0,55336,8
3803456,3072,57906,2,37381,5
3803457,54226,38249,9,23215,15
3803458,26070,64360,8,17713,1
3803459,37268,49053,13,46465,1
3803460,45533,47533,13,45984,0
3803461,44273,9786,10,10182,6
3803462,1503,23233,1,36062,14
3803463,13903,41855,15,38400,0
3803464,14490,26304,0,61407,15
3803465,15328,3069,13,60065,1
3803466,47373,53029,5,63308,12
3803467,14833,36407,7,26784,0
3803468,65100,18814,14,469,5
3803469,45168,39843,3,63886,14
3803470,25028,58162,2,25978,10
3803471,7635,32370,2,16993,1
3803472,22739,38959,15,29465,9
3803473,13257,58061,13,49336,8
3803474,52774,13258,10,20809,9
3803475,50788,39974,6,14836,4
3803476,35549,32503,7,27517,13
3803477,17166,8714,10,63628,12
3803478,18674,7963,11,176,0
3803479,12178,41702,6,33460,4
3803480,26029,62550,6,54104,8
3803481,52041,64798,14,41234,2
3803482,35588,30536,8,27098,10
3803483,62042,40505,9,20490,10
3803484,60809,31,15,21475,3
3803485,27788,64884,4,27669,5
3803486,56793,10869,5,51757,13
3803487,49144,55405,13,22567,7
3803488,36801,48496,0,39891,3
3803489,53079,22653,13,28073,9
3803490,50472,14418,2,39810,2
3803491,56052,34256,0,58849,1
3803492,7976,25473,1,5366,6
3803493,51725,63041,1,22817,1
3803494,54823,10493,13,35990,6
3803495,7195,2867,3,53960,8
3803496,29134,59618,2,45011,3
3803497,9324,53259,11,31521,1
3803498,22171,39018,10,31684,4
3803499,4343,19173,5,21182,14
3803500,6932,36380,12,40057,9
3803501,18668,13635,3,19024,0
3803502,14184,10119,7,62327,7
3803503,49861,16877,13,34089,9
3803504,1924,37516,12,6335,15
3803505,46274,61066,10,59751,7
3803506,25760,28336,0,47722,10
3803507,52677,45302,6,61523,3
3803508,31733,51364,4,32759,7
3803509,5136,46667,11,63726,14
3803510,46353,45588,4,60353,1
3803511,42976,7603,3,48442,10
3803512,2693,27988,4,32695,7
3803513,24260,38940,12,36315,11
3803514,16398,33463,7,32235,11
3803515,23848,26238,14,4170,10
3803516,3236,52221,13,45913,9
3803517,1626,62487,7,39455,15
3803518,22731,37709,13,63716,4
3803519,35854,43277,13,56940,12
3803520,16815,43819,11,37481,9
3803521,22997,9694,14,16069,5
3803522,8791,61882,10,16917,5
3803523,38199,6227,3,42665,9
3803524,4048,3552,0,4549,5
3803525,61476,38279,7,61746,2
3803526,30491,18446,14,28974,14
3803527,51077,8929,1,49067,11
3803528,48922,13321,9,18171,11
3803529,58530,58308,4,10056,8
3803530,54061,34087,7,36011,11
3803531,13199,5100,12,13344,0
3803532,55532,31106,2,42343,7
3803533,53276,9435,11,65214,14
3803534,45503,1540,4,52005,5
3803535,31782,17751,7,58849,1
3803536,18610,16602,10,23021,13
3803537,14803,52828,12,50934,6
3803538,55689,41591,7,61684,4
3803539,41515,45573,5,27352,8
3803540,10941,2872,8,53462,6
3803541,64983,52026,10,2934,6
3803542,29575,4272,0,35540,4
3803543,12820,34609,1,50955,11
3803544,56469,59567,15,16105,9
3803545,16021,1354,10,52746,10
3803546,21413,23136,0,14049,1
3803547,8614,48662,6,50634,10
3803548,46100,18232,8,383,15
3803549,19116,12531,3,9206,6
3803550,27928,65319,7,36220,12
3803551,63889,46737,1,40692,4
3803552,32715,63145,9,9766,6
3803553,52844,48152,8,57297,1
3803554,39798,24387,3,47046,6
3803555,58321,8163,3,41402,10
3803556,40892,946,2,34914,2
3803557,32950,35453,13,35023,15
3803558,42034,51098,10,65202,2
3803559,10921,54834,2,64781,13
3803560,15760,12838,6,8848,0
3803561,23377,25641,9,63248,0
3803562,56116,17891,3,12811,11
3803563,26347,15331,3,39483,11
3803564,20711,45273,9,38827,11
3803565,45061,48088,8,37070,14
3803566,2303,59227,11,35225,9
3803567,14704,20664,8,58560,0
3803568,58310,52761,9,61389,13
3803569,56856,17085,13,8012,12
3803570,40673,16511,15,532,4
3803571,13956,55865,9,7161,9
3803572,17512,33744,0,30667,11
3803573,42384,7746,2,53153,1
3803574,35817,24710,6,41852,12
3803575,22632,46357,5,48443,11
3803576,22862,41553,1,1177,9
3803577,46843,4360,8,42390,6
3803578,13313,7353,9,34496,0
3803579,53053,15182,14,22020,4
3803580,61314,29298,2,6161,1
3803581,37409,36808,8,1453,13
3803582,6988,11188,4,39090,2
3803583,15561,51019,11,35860,4
3803584,25149,46230,6,22313,9
3803585,53290,37034,10,17307,11
3803586,479,42509,13,16455,7
3803587,10464,15493,5,51224,8
3803588,8220,41170,2,7662,14
3803589,57192,24848,0,46781,13
3803590,30803,24224,0,9935,15
3803591,27331,47298,2,46118,6
3803592,4118,37223,7,31703,7
3803593,43294,26435,3,15105,1
3803594,12051,29526,6,9311,15
3803595,63764,38226,2,5661,13
3803596,43835,18377,9,43020,12
3803597,4995,46569,9,16296,8
3803598,32583,50684,12,33849,9
3803599,38749,15377,1,16730,10
3803600,16950,35195,11,45472,0
3803601,3999,32686,14,55002,10
3803602,26488,9894,6,47553,1
3803603,15213,57194,10,24644,4
3803604,11032,56050,2,3658,10
3803605,11700,12036,4,24714,10
3803606,23210,48050,2,23021,13
3803607,31918,56687,15,9557,5
3803608,16212,38444,12,6296,8
3803609,27582,53814,6,13332,4
3803610,19855,63053,13,636,12
3803611,39898,281,9,40141,13
3803612,47181,2452,4,10604,12
3803613,4877,917,5,20401,1
3803614,29676,51473,1,57909,5
3803615,22320,61954,2,57966,14
3803616,578,49413,5,39386,10
3803617,43666,31565,13,58552,8
3803618,65165,55124,4,3762,2
3803619,11445,30225,1,51885,13
3803620,28333,33480,8,24181,5
3803621,46296,4743,7,59454,14
3803622,15912,16535,7,13088,0
3803623,21199,36461,13,50316,12
3803624,19388,56285,13,18252,12
3803625,7445,33433,9,49778,2
3803626,5887,34550,6,46995,3
3803627,55533,16828,12,17448,8
3803628,50952,21182,14,15750,6
3803629,19800,36201,9,35822,14
3803630,26547,59970,2,56296,8
3803631,60056,28624,0,7464,8
3803632,3141,1315,3,47854,14
3803633,21875,61318,6,19634,2
3803634,12293,47037,13,30822,6
3803635,61433,53236,4,9868,12
3803636,27119,27376,0,23428,4
3803637,25405,14999,7,3451,11
3803638,31881,55103,15,43073,1
3803639,26130,7423,15,53238,6
3803640,25404,64363,11,45665,1
3803641,45853,14548,4,41432,8
3803642,50275,551,7,59850,10
3803643,46254,38506,10,6715,11
3803644,24286,58651,11,43316,4
3803645,47270,54955,11,7713,1
3803646,920,20641,1,21608,8
3803647,27069,36503,7,65274,10
3803648,43009,17231,15,50943,15
3803649,4382,39691,11,38157,13
3803650,52810,59659,11,55212,12
3803651,13846,64725,5,48046,14
3803652,25581,11626,10,30816,0
3803653,40651,33730,2,1532,12
3803654,55526,58305,1,55428,4
3803655,38605,61797,5,43643,11
3803656,18130,42307,3,19953,1
3803657,33822,20505,9,31068,12
3803658,23359,30345,9,63765,5
3803659,30226,37099,11,28506,10
3803660,41196,63321,9,14748,12
3803661,26734,2121,9,15158,6
3803662,36014,22098,2,34641,1
3803663,32975,47947,11,10442,10
3803664,19148,39603,3,47715,3
3803665,20146,8864,0,13515,11
3803666,36884,41704,8,25196,12
3803667,52271,55110,6,49773,13
3803668,15272,41750,6,22634,10
3803669,58113,1361,1,54333,13
3803670,57095,30014,14,30883,3
3803671,17879,20951,7,34674,2
3803672,11608,7347,3,57068,12
3803673,53971,33344,0,30087,7
3803674,36105,54374,6,16369,1
3803675,29691,46345,9,56727,7
3803676,49972,21629,13,65086,14
3803677,9695,14706,2,4954,10
3803678,54606,50102,6,2150,6
3803679,13594,58416,0,41610,10
3803680,35615,32157,13,9324,12
3803681,40381,28992,0,64012,12
3803682,27088,54748,12,970,10
3803683,4471,45045,5,35055,15
3803684,17901,34372,4,62307,3
3803685,56237,56654,14,11758,14
3803686,15185,2384,0,18682,10
3803687,31371,21297,1,9621,5
3803688,27524,20787,3,23240,8
3803689,21646,45944,8,32637,13
3803690,62883,56894,14,33784,8
3803691,65351,29411,3,24025,9
3803692,21383,5986,2,7131,11
3803693,53401,38847,15,45038,14
3803694,47315,65480,8,58903,7
3803695,61387,64233,9,14959,15
3803696,54091,22662,6,8257,1
3803697,32629,60597,5,63035,11
3803698,49545,36650,10,35438,14
3803699,54877,3607,7,18760,8
3803700,8311,51896,8,34947,3
3803701,57673,56993,1,38089,9
3803702,38771,52763,11,12295,7
3803703,63419,1115,11,15501,13
3803704,48721,2332,12,1231,15
3803705,31930,49780,4,5965,13
3803706,50659,39213,13,37838,14
3803707,45250,33214,14,3273,9
3803708,49566,31587,3,30356,4
3803709,12419,54458,10,14573,13
3803710,63380,12429,13,61400,8
3803711,48429,57179,11,20392,8
3803712,54066,31827,3,27136,0
3803713,59529,63775,15,65477,5
3803714,47575,48028,12,8969,9
3803715,13165,27579,11,64558,14
3803716,32257,25116,12,3684,4
3803717,62416,5989,5,64360,8
3803718,10298,41820,12,10986,10
3803719,13152,30501,5,58573,13
3803720,22369,7610,10,43249,1
3803721,31477,52112,0,57540,4
3803722,53605,4314,10,18890,10
3803723,35066,37797,5,65246,14
3803724,58560,12631,7,28817,1
3803725,51692,18284,12,39441,1
3803726,47817,56904,8,18891,11
3803727,54561,57437,13,44231,7
3803728,64250,50158,14,36323,3
3803729,5160,19132,12,11576,8
3803730,51386,20711,7,51600,0
3803731,43848,58205,13,7937,1
3803732,20962,36099,3,56166,6
3803733,26001,60527,15,139,11
3803734,38940,37448,8,37002,10
3803735,28598,16976,0,31705,9
3803736,35852,60798,14,28534,6
3803737,50816,12694,6,49568,0
3803738,42724,41395,3,18339,3
3803739,53996,1992,8,6870,6
3803740,51837,35579,11,50181,5
3803741,20387,43906,2,3176,8
3803742,48360,9841,1,8843,11
3803743,42232,41821,13,34642,2
3803744,31295,5398,6,63987,3
3803745,33123,56421,5,805,5
3803746,43395,28412,12,35083,11
3803747,40761,40989,13,48289,1
3803748,35243,26083,3,5978,10
3803749,37971,45673,9,5207,7
3803750,37491,20774,6,62959,15
3803751,9279,36601,9,15742,14
3803752,64240,13389,13,38841,9
3803753,61872,38028,12,51531,11
3803754,57324,18066,2,64067,3
3803755,47828,64868,4,44716,12
3803756,60828,42500,4,19860,4
3803757,63969,25379,3,7147,11
3803758,41860,42728,8,50548,4
3803759,48996,56497,1,59215,15
3803760,35522,39794,2,31019,11
3803761,48813,35958,6,26760,8
3803762,51546,27057,1,21348,4
3803763,6686,20055,7,46744,8
3803764,51614,30185,9,1468,12
3803765,7017,46788,4,31526,6
3803766,59866,41688,8,46535,7
3803767,28847,30859,11,8935,7
3803768,34945,37515,11,2771,3
3803769,41282,50749,13,26060,12
3803770,35125,55234,2,18651,11
3803771,47077,27093,5,52137,9
3803772,11616,40115,3,4655,15
3803773,472,59419,11,61050,10
3803774,14185,18361,9,26339,3
3803775,49444,38967,7,55117,13
3803776,56407,38325,5,59018,10
3803777,11717,42334,14,37328,0
3803778,57821,1695,15,5514,10
3803779,35151,35655,7,56257,1
3803780,52583,22233,9,33086,14
3803781,4643,54237,13,14380,12
3803782,40082,61831,7,12319,15
3803783,11491,29525,5,47591,7
3803784,18978,52796,12,46151,7
3803785,61790,25103,15,44966,6
3803786,29807,3737,9,28697,9
3803787,37253,32512,0,43592,8
3803788,29603,47111,7,29867,11
3803789,50097,3223,7,29198,14
3803790,38829,47249,1,6068,4
3803791,38903,7068,12,48034,2
3803792,14326,44637,13,15734,6
3803793,6261,20362,10,4891,11
3803794,45331,10514,2,37563,11
3803795,62774,59392,0,55838,14
3803796,10099,13124,4,34283,11
3803797,64555,3971,3,58952,8
3803798,40474,8238,14,51122,2
3803799,30297,49503,15,36711,7
3803800,43784,11100,12,15841,1
3803801,34106,39945,9,17814,6
3803802,2457,61523,3,33850,10
3803803,10213,12980,4,55460,4
3803804,38251,2982,6,55021,13
3803805,20185,57092,4,23664,0
3803806,39535,1082,10,1796,4
3803807,3608,25450,10,34399,15
3803808,57923,50930,2,45460,4
3803809,24374,13286,6,48030,14
3803810,39150,10534,6,60567,7
3803811,25945,42848,0,45354,10
3803812,46304,20020,4,10209,1
3803813,25015,3867,11,23910,6
3803814,28823,53350,6,5342,14
3803815,2974,14301,13,29996,12
3803816,28000,23737,9,29132,12
3803817,24046,11912,8,11505,1
3803818,11559,28436,4,13040,0
3803819,7903,34266,10,37334,6
3803820,5362,34530,2,55453,13
3803821,10364,2418,2,10653,13
3803822,27202,12785,1,40305,1
3803823,58293,25734,6,47438,14
3803824,8634,28718,14,64247,7
3803825,65121,21458,2,63534,14
3803826,42905,63321,9,27814,6
3803827,19707,51642,10,25895,7
3803828,1656,54545,1,49373,13
3803829,27182,11018,10,11484,12
3803830,35655,40128,0,31631,15
3803831,14830,242,2,9915,11
3803832,29885,22465,1,62030,14
3803833,35569,58770,2,20171,11
3803834,38714,52816,0,19657,9
3803835,477,32254,14,49174,6
3803836,15230,24649,9,26882,2
3803837,20101,34622,14,41886,14
3803838,4686,48854,6,23742,14
3803839,4517,59856,0,53714,2
3803840,6116,10195,3,12982,6
3803841,4438,33321,9,31617,1
3803842,43925,23196,12,50274,2
3803843,20988,11906,2,7443,3
3803844,54569,1006,14,64709,5
3803845,43519,32137,9,55399,7
3803846,62054,58690,2,37449,9
3803847,2938,12752,0,3661,13
3803848,50091,42741,5,59046,6
3803849,55689,33003,11,45920,0
3803850,45029,48194,2,7579,11
3803851,19694,53146,10,46658,2
3803852,19617,18927,15,23114,10
3803853,40386,34537,9,2575,15
3803854,46456,9566,14,61178,10
3803855,876,41338,10,49936,0
3803856,61809,59110,6,15800,8
3803857,35933,21166,14,2758,6
3803858,43940,23859,3,7525,5
3803859,56569,7952,0,13733,5
3803860,18971,21792,0,48820,4
3803861,9529,29448,8,56682,10
3803862,47663,35495,7,44918,6
3803863,63446,38701,13,46142,14
3803864,40167,41712,0,49324,12
3803865,25744,3941,5,49458,2
3803866,34635,53749,5,58949,5
3803867,8358,60470,6,23887,15
3803868,36562,61290,10,49946,10
3803869,50669,8748,12,6228,4
3803870,44706,51081,9,27986,2
3803871,41481,16052,4,58926,14
3803872,12608,8653,13,24217,9
3803873,34404,10676,4,37208,8
3803874,11160,12525,13,16572,12
3803875,26832,26969,9,4008,8
3803876,61516,59758,14,32936,8
3803877,39805,34506,10,43519,15
3803878,31158,35759,15,61985,1
3803879,12454,16946,2,56362,10
3803880,41182,52045,13,6537,9
3803881,35331,16270,14,38917,5
3803882,53068,41037,13,39715,3
3803883,41073,2021,5,62620,12
3803884,27370,23502,14,29688,8
3803885,51661,1646,14,19327,15
3803886,37014,41462,6,19114,10
3803887,13250,41114,10,55904,0
3803888,58006,40492,12,58492,12
3803889,13748,25293,13,65106,2
3803890,33164,19344,0,23332,4
3803891,27966,17911,7,48962,2
3803892,18313,14911,15,12754,2
3803893,57618,6658,2,54651,11
3803894,50352,22105,9,49163,11
3803895,42589,19828,4,13929,9
3803896,32017,53905,1,12163,3
3803897,38196,14523,11,7469,13
3803898,47733,38251,11,63444,4
3803899,35307,44285,13,38422,6
3803900,39580,1778,2,65520,0
3803901,12521,52014,14,29215,15
3803902,52839,55938,2,14917,5
3803903,56436,27189,5,28756,4
3803904,22454,44668,12,9136,0
3803905,10457,61577,9,27268,4
3803906,32636,37809,1,37490,2
3803907,2320,31781,5,15476,4
3803908,25024,31987,3,16886,6
3803909,39316,59545,9,29077,5
3803910,52183,28239,15,27131,11
3803911,39537,28098,2,33383,7
3803912,13102,35160,8,58745,9
